發票年月,縣市,縣市代號,行業別,載具類別,電子發票張數,電子發票金額
2016/1/1,高雄市,E,餐飲業,使用載具,9287,1055533
2016/1/1,高雄市,E,食品製造業,使用載具,260,123698
2016/1/1,高雄市,E,電腦系統設計服務業,使用載具,546,597163
2016/1/1,高雄市,E,電力設備製造業,使用載具,130,114813
2016/1/1,高雄市,E,電力及燃氣供應業,使用載具,403816,5401745281
2016/1/1,高雄市,E,電信業,使用載具,1932130,1360163480
2016/1/1,高雄市,E,零售業,使用載具,1293849,293298127
2016/1/1,高雄市,E,陸上運輸業,使用載具,10003,2047434
2016/1/1,高雄市,E,郵政及快遞業,使用載具,64927,9623103
2016/1/1,高雄市,E,運輸輔助業,使用載具,37632,5481947
2016/1/1,高雄市,E,運動、娛樂及休閒服務業,使用載具,320,1032322
2016/1/1,高雄市,E,農、牧業,使用載具,4,740
2016/1/1,高雄市,E,資料處理及資訊供應服務業,使用載具,3611,3794184
2016/1/1,高雄市,E,用水供應業,使用載具,492244,397744614
2016/1/1,高雄市,E,機械設備製造業,使用載具,47,171214
2016/1/1,高雄市,E,教育服務業,使用載具,1,5800
2016/1/1,高雄市,E,批發業,使用載具,39279,45535080
2016/1/1,高雄市,E,成衣及服飾品製造業,使用載具,2,879
2016/1/1,高雄市,E,影片服務、聲音錄製及音樂出版業,使用載具,116,6775
2016/1/1,高雄市,E,建築、工程服務及技術檢測、分析服務業,使用載具,237,75104
2016/1/1,高雄市,E,廣告業及市場研究業,使用載具,6,38525
2016/1/1,高雄市,E,基本金屬製造業,使用載具,1,650
2016/1/1,高雄市,E,化學材料製造業,使用載具,178,92823
2016/1/1,高雄市,E,其他製造業,使用載具,225,241985
2016/1/1,高雄市,E,傳播及節目播送業,使用載具,374476,362340581
2016/1/1,高雄市,E,個人及家庭用品維修業,使用載具,183,156833
2016/1/1,高雄市,E,保險業,使用載具,1036,722600
2016/1/1,高雄市,E,企業總管理機構及管理顧問業,使用載具,819,3025773
2016/1/1,高雄市,E,人力仲介及供應業,使用載具,3,1621
2016/1/1,高雄市,E,不動產開發業,使用載具,83,23541
2016/1/1,高雄市,E,不動產經營及相關服務業,使用載具,37,6864
2016/1/1,臺北市,A,餐飲業,使用載具,37608,5372424
2016/1/1,臺北市,A,飲料製造業,使用載具,42,4344
2016/1/1,臺北市,A,食品製造業,使用載具,5489,12923919
2016/1/1,臺北市,A,電腦系統設計服務業,使用載具,51106,121709869
2016/1/1,臺北市,A,電子零組件製造業,使用載具,1638,3059344
2016/1/1,臺北市,A,電力設備製造業,使用載具,4,1953
2016/1/1,臺北市,A,電力及燃氣供應業,使用載具,312071,2652498393
2016/1/1,臺北市,A,電信業,使用載具,9150693,8515987817
2016/1/1,臺北市,A,零售業,使用載具,7727931,4526223790
2016/1/1,臺北市,A,陸上運輸業,使用載具,8166,1327427
2016/1/1,臺北市,A,金融中介業,使用載具,1277,10200835
2016/1/1,臺北市,A,郵政及快遞業,使用載具,9678,1532677
2016/1/1,臺北市,A,運輸輔助業,使用載具,18821,2728430
2016/1/1,臺北市,A,運動、娛樂及休閒服務業,使用載具,41801,55547338
2016/1/1,臺北市,A,資料處理及資訊供應服務業,使用載具,4494405,2740950996
2016/1/1,臺北市,A,證券期貨及其他金融業,使用載具,703363,577449779
2016/1/1,臺北市,A,藥品及醫用化學製品製造業,使用載具,2,547
2016/1/1,臺北市,A,航空運輸業,使用載具,61,147145
2016/1/1,臺北市,A,租賃業,使用載具,138,1763292
2016/1/1,臺北市,A,石油及煤製品製造業,使用載具,427,284297
2016/1/1,臺北市,A,用水供應業,使用載具,544976,376890425
2016/1/1,臺北市,A,污染整治業,使用載具,503,145537
2016/1/1,臺北市,A,未分類其他服務業,使用載具,86604,443482984
2016/1/1,臺北市,A,旅行及相關代訂服務業,使用載具,830,851643
2016/1/1,臺北市,A,教育服務業,使用載具,4068,5244846
2016/1/1,臺北市,A,批發業,使用載具,472271,607863237
2016/1/1,臺北市,A,成衣及服飾品製造業,使用載具,1230,2125514
2016/1/1,臺北市,A,影片服務、聲音錄製及音樂出版業,使用載具,1689838,2915595842
2016/1/1,臺北市,A,建築物及綠化服務業,使用載具,575,1746570
2016/1/1,臺北市,A,建築、工程服務及技術檢測、分析服務業,使用載具,1,4410
2016/1/1,臺北市,A,廣告業及市場研究業,使用載具,53075,81138414
2016/1/1,臺北市,A,廢棄物清除、處理及資源回收業,使用載具,397,64596
2016/1/1,臺北市,A,專門設計服務業,使用載具,2759,10090275
2016/1/1,臺北市,A,專門營造業,使用載具,57747,78986659
2016/1/1,臺北市,A,土木工程業,使用載具,1,990
2016/1/1,臺北市,A,化學製品製造業,使用載具,133,150182
2016/1/1,臺北市,A,出版業,使用載具,2738,18420292
2016/1/1,臺北市,A,傳播及節目播送業,使用載具,191366,291963971
2016/1/1,臺北市,A,個人及家庭用品維修業,使用載具,11400,22670724
2016/1/1,臺北市,A,倉儲業,使用載具,6,25053
2016/1/1,臺北市,A,保險業,使用載具,2368,1078772
2016/1/1,臺北市,A,住宿服務業,使用載具,2,2865
2016/1/1,臺北市,A,企業總管理機構及管理顧問業,使用載具,6905,12943509
2016/1/1,臺北市,A,不動產開發業,使用載具,2589,11552475
2016/1/1,臺北市,A,不動產經營及相關服務業,使用載具,4,1750
2016/1/1,澎湖縣,X,餐飲業,使用載具,63,6690
2016/1/1,澎湖縣,X,電力設備製造業,使用載具,71,32636
2016/1/1,澎湖縣,X,電力及燃氣供應業,使用載具,8581,43855179
2016/1/1,澎湖縣,X,電信業,使用載具,70093,49111485
2016/1/1,澎湖縣,X,零售業,使用載具,64916,15608075
2016/1/1,澎湖縣,X,陸上運輸業,使用載具,15191,3744805
2016/1/1,澎湖縣,X,石油及天然氣礦業,使用載具,1,148
2016/1/1,澎湖縣,X,用水供應業,使用載具,12623,7099840
2016/1/1,澎湖縣,X,批發業,使用載具,1,500
2016/1/1,臺東縣,V,餐飲業,使用載具,55,18198
2016/1/1,臺東縣,V,電腦、電子產品及光學製品製造業,使用載具,1,1951
2016/1/1,臺東縣,V,電力及燃氣供應業,使用載具,25199,129661744
2016/1/1,臺東縣,V,電信業,使用載具,153805,111666023
2016/1/1,臺東縣,V,零售業,使用載具,148736,30380391
2016/1/1,臺東縣,V,郵政及快遞業,使用載具,45820,5963659
2016/1/1,臺東縣,V,運動、娛樂及休閒服務業,使用載具,186,19562
2016/1/1,臺東縣,V,租賃業,使用載具,2,11750
2016/1/1,臺東縣,V,研究發展服務業,使用載具,14,31154
2016/1/1,臺東縣,V,用水供應業,使用載具,30244,17973666
2016/1/1,臺東縣,V,批發業,使用載具,3077,2378532
2016/1/1,臺東縣,V,倉儲業,使用載具,103,40277
2016/1/1,臺東縣,V,住宿服務業,使用載具,36,5626
2016/1/1,臺東縣,V,不動產經營及相關服務業,使用載具,6,3682
2016/1/1,屏東縣,T,餐飲業,使用載具,899,143835
2016/1/1,屏東縣,T,飲料製造業,使用載具,20,22437
2016/1/1,屏東縣,T,電力及燃氣供應業,使用載具,140371,681697490
2016/1/1,屏東縣,T,電信業,使用載具,478366,303548057
2016/1/1,屏東縣,T,零售業,使用載具,311880,70220976
2016/1/1,屏東縣,T,陸上運輸業,使用載具,92599,12869779
2016/1/1,屏東縣,T,郵政及快遞業,使用載具,21274,3021730
2016/1/1,屏東縣,T,研究發展服務業,使用載具,151,52106460
2016/1/1,屏東縣,T,石油及煤製品製造業,使用載具,309,95543
2016/1/1,屏東縣,T,用水供應業,使用載具,62757,36343662
2016/1/1,屏東縣,T,批發業,使用載具,10643,16178274
2016/1/1,屏東縣,T,土木工程業,使用載具,980,92028
2016/1/1,屏東縣,T,化學製品製造業,使用載具,380,675459
2016/1/1,屏東縣,T,傳播及節目播送業,使用載具,133005,93468389
2016/1/1,屏東縣,T,個人及家庭用品維修業,使用載具,234,155308
2016/1/1,屏東縣,T,不動產經營及相關服務業,使用載具,24,5296
2016/1/1,嘉義縣,Q,餐飲業,使用載具,1249,155244
2016/1/1,嘉義縣,Q,食品製造業,使用載具,32,19020
2016/1/1,嘉義縣,Q,非金屬礦物製品製造業,使用載具,1991,894605
2016/1/1,嘉義縣,Q,零售業,使用載具,198341,32277727
2016/1/1,嘉義縣,Q,陸上運輸業,使用載具,39142,5992336
2016/1/1,嘉義縣,Q,運動、娛樂及休閒服務業,使用載具,6,900
2016/1/1,嘉義縣,Q,用水供應業,使用載具,67568,50575430
2016/1/1,嘉義縣,Q,批發業,使用載具,5187,12572430
2016/1/1,嘉義縣,Q,化學材料製造業,使用載具,675,511083
2016/1/1,嘉義縣,Q,傳播及節目播送業,使用載具,17351,28475348
2016/1/1,嘉義市,I,餐飲業,使用載具,4998,2903821
2016/1/1,嘉義市,I,電力設備製造業,使用載具,113311,576337241
2016/1/1,嘉義市,I,電信業,使用載具,582986,402080906
2016/1/1,嘉義市,I,零售業,使用載具,164738,40539813
2016/1/1,嘉義市,I,郵政及快遞業,使用載具,39111,6216004
2016/1/1,嘉義市,I,運動、娛樂及休閒服務業,使用載具,1,2822
2016/1/1,嘉義市,I,用水供應業,使用載具,65496,36959410
2016/1/1,嘉義市,I,批發業,使用載具,44565,67393022
2016/1/1,嘉義市,I,專門設計服務業,使用載具,483,204406
2016/1/1,臺南市,D,餐飲業,使用載具,6916,834316
2016/1/1,臺南市,D,飲料製造業,使用載具,12,11407
2016/1/1,臺南市,D,食品製造業,使用載具,811,95154
2016/1/1,臺南市,D,電腦系統設計服務業,使用載具,58,99630
2016/1/1,臺南市,D,電力及燃氣供應業,使用載具,297345,5063253295
2016/1/1,臺南市,D,電信業,使用載具,1300932,884719830
2016/1/1,臺南市,D,零售業,使用載具,1254922,165303503
2016/1/1,臺南市,D,陸上運輸業,使用載具,29831,4376849
2016/1/1,臺南市,D,郵政及快遞業,使用載具,41946,6011561
2016/1/1,臺南市,D,運輸輔助業,使用載具,31423,3815320
2016/1/1,臺南市,D,運動、娛樂及休閒服務業,使用載具,12091,11778389
2016/1/1,臺南市,D,資料處理及資訊供應服務業,使用載具,1356,861581
2016/1/1,臺南市,D,租賃業,使用載具,2,1120
2016/1/1,臺南市,D,用水供應業,使用載具,310494,240103950
2016/1/1,臺南市,D,批發業,使用載具,18161,20228185
2016/1/1,臺南市,D,影片服務、聲音錄製及音樂出版業,使用載具,50,4626
2016/1/1,臺南市,D,土木工程業,使用載具,23912,15635061
2016/1/1,臺南市,D,化學製品製造業,使用載具,27,32430
2016/1/1,臺南市,D,其他製造業,使用載具,18,51370
2016/1/1,臺南市,D,傳播及節目播送業,使用載具,218515,234663623
2016/1/1,臺南市,D,個人及家庭用品維修業,使用載具,323,219546
2016/1/1,臺南市,D,住宿服務業,使用載具,6,3574
2016/1/1,臺南市,D,人力仲介及供應業,使用載具,2799,281746
2016/1/1,臺南市,D,不動產經營及相關服務業,使用載具,174,27400
2016/1/1,連江縣,Z,電力及燃氣供應業,使用載具,2320,10190948
2016/1/1,連江縣,Z,電信業,使用載具,12452,12112763
2016/1/1,連江縣,Z,零售業,使用載具,38738,5777859
2016/1/1,金門縣,W,餐飲業,使用載具,239,35032
2016/1/1,金門縣,W,電力及燃氣供應業,使用載具,6105,39997163
2016/1/1,金門縣,W,電信業,使用載具,53735,39691168
2016/1/1,金門縣,W,零售業,使用載具,51303,6714400
2016/1/1,金門縣,W,資料處理及資訊供應服務業,使用載具,17909,2506971
2016/1/1,金門縣,W,批發業,使用載具,66,27660
2016/1/1,花蓮縣,U,餐飲業,使用載具,242,39592
2016/1/1,花蓮縣,U,飲料製造業,使用載具,10,4799
2016/1/1,花蓮縣,U,食品製造業,使用載具,41,18413
2016/1/1,花蓮縣,U,電力及燃氣供應業,使用載具,39817,442819943
2016/1/1,花蓮縣,U,電信業,使用載具,221185,174025362
2016/1/1,花蓮縣,U,零售業,使用載具,217146,43634261
2016/1/1,花蓮縣,U,陸上運輸業,使用載具,5223,893520
2016/1/1,花蓮縣,U,運輸輔助業,使用載具,414,56330
2016/1/1,花蓮縣,U,運動、娛樂及休閒服務業,使用載具,1,60
2016/1/1,花蓮縣,U,租賃業,使用載具,2,13370
2016/1/1,花蓮縣,U,石油及煤製品製造業,使用載具,112,39227
2016/1/1,花蓮縣,U,用水供應業,使用載具,47310,26868127
2016/1/1,花蓮縣,U,批發業,使用載具,781,1338594
2016/1/1,花蓮縣,U,個人及家庭用品維修業,使用載具,1,10791
2016/1/1,花蓮縣,U,不動產經營及相關服務業,使用載具,66,9947
2016/1/1,新竹市,O,餐飲業,使用載具,1219,184632
2016/1/1,新竹市,O,食品製造業,使用載具,1053,118611
2016/1/1,新竹市,O,電腦系統設計服務業,使用載具,25,53960
2016/1/1,新竹市,O,電子零組件製造業,使用載具,1574,6874050
2016/1/1,新竹市,O,電力設備製造業,使用載具,284,177301
2016/1/1,新竹市,O,電力及燃氣供應業,使用載具,121146,3656729084
2016/1/1,新竹市,O,電信業,使用載具,704996,600122132
2016/1/1,新竹市,O,零售業,使用載具,812639,100202608
2016/1/1,新竹市,O,郵政及快遞業,使用載具,7353,1151033
2016/1/1,新竹市,O,運動、娛樂及休閒服務業,使用載具,14041,18217058
2016/1/1,新竹市,O,租賃業,使用載具,1,1750
2016/1/1,新竹市,O,石油及煤製品製造業,使用載具,524,156087
2016/1/1,新竹市,O,用水供應業,使用載具,84965,94819377
2016/1/1,新竹市,O,未分類其他服務業,使用載具,10,1650
2016/1/1,新竹市,O,批發業,使用載具,9439,1673534
2016/1/1,新竹市,O,影片服務、聲音錄製及音樂出版業,使用載具,216,16116
2016/1/1,新竹市,O,專門設計服務業,使用載具,1451,887386
2016/1/1,新竹市,O,傳播及節目播送業,使用載具,72630,86085478
2016/1/1,新竹市,O,個人及家庭用品維修業,使用載具,23,16500
2016/1/1,新竹市,O,住宿服務業,使用載具,43,6810
2016/1/1,新竹市,O,企業總管理機構及管理顧問業,使用載具,44,131500
2016/1/1,新竹縣,J,餐飲業,使用載具,1551,277433
2016/1/1,新竹縣,J,食品製造業,使用載具,94,13975
2016/1/1,新竹縣,J,電腦、電子產品及光學製品製造業,使用載具,191,378012
2016/1/1,新竹縣,J,電力及燃氣供應業,使用載具,91350,166336951
2016/1/1,新竹縣,J,電信業,使用載具,11134,15184678
2016/1/1,新竹縣,J,零售業,使用載具,749459,70181793
2016/1/1,新竹縣,J,陸上運輸業,使用載具,1620,292419
2016/1/1,新竹縣,J,石油及煤製品製造業,使用載具,277,89349
2016/1/1,新竹縣,J,用水供應業,使用載具,34393,35725691
2016/1/1,新竹縣,J,業務及辦公室支援服務業,使用載具,42183,26404247
2016/1/1,新竹縣,J,批發業,使用載具,759,479321
2016/1/1,新竹縣,J,影片服務、聲音錄製及音樂出版業,使用載具,1,180
2016/1/1,新竹縣,J,傳播及節目播送業,使用載具,54711,68135329
2016/1/1,新竹縣,J,住宿服務業,使用載具,3,230
2016/1/1,新竹縣,J,人力仲介及供應業,使用載具,2650,229572
2016/1/1,桃園市,H,餐飲業,使用載具,8877,2610992
2016/1/1,桃園市,H,食品製造業,使用載具,234,94477
2016/1/1,桃園市,H,非金屬礦物製品製造業,使用載具,28,46302
2016/1/1,桃園市,H,電腦系統設計服務業,使用載具,34,643764
2016/1/1,桃園市,H,電腦、電子產品及光學製品製造業,使用載具,862,2437798
2016/1/1,桃園市,H,電子零組件製造業,使用載具,8822,6807336
