"110年04月20日暫停先賣後買當日沖銷交易標的預告表"
"證券代號","證券名稱","停止先賣後買開始日","停止先賣後買結束日","原因",
="0052","富邦科技","110/04/15","110/04/21","分配收益",
="00714","群益道瓊美國地產","110/04/15","110/04/21","分配收益",
="00717","富邦美國特別股","110/04/15","110/04/21","分配收益",
="00774B","新光中國政金綠債","110/04/19","110/04/23","分配收益",
"1102","亞泥","110/04/20","110/04/26","股東常會",
"1104","環泥","110/04/23","110/04/29","股東常會",
"1109","信大","110/04/19","110/04/23","股東常會",
"1110","東泥","110/04/20","110/04/26","股東常會",
"1201","味全","110/04/19","110/04/23","股東常會",
"1203","味王","110/04/19","110/04/23","股東常會",
"1215","卜蜂","110/04/19","110/04/23","股東常會",
"1216","統一","110/04/19","110/04/23","股東常會",
"1217","愛之味","110/04/19","110/04/23","股東常會",
"1219","福壽","110/04/19","110/04/23","股東常會",
"1220","台榮","110/04/23","110/04/29","股東常會",
"1225","福懋油","110/04/19","110/04/23","股東常會",
"1229","聯華","110/04/19","110/04/23","股東常會",
"1229","聯華","110/04/19","110/04/23","除息",
"1234","黑松","110/04/19","110/04/23","股東常會",
"1236","宏亞","110/04/23","110/04/29","股東常會",
"1301","台塑","110/04/19","110/04/23","股東常會",
"1303","南亞","110/04/19","110/04/23","股東常會",
"1307","三芳","110/04/19","110/04/23","股東常會",
"1310","台苯","110/04/20","110/04/26","股東常會",
"1319","東陽","110/04/19","110/04/23","股東常會",
"1321","大洋","110/04/19","110/04/23","股東常會",
"1325","恆大","110/04/23","110/04/29","股東常會",
"1340","勝悅-KY","110/04/23","110/04/29","股東常會",
"1402","遠東新","110/04/23","110/04/29","股東常會",
"1416","廣豐","110/04/23","110/04/29","股東常會",
"1423","利華","110/04/19","110/04/23","股東常會",
"1432","大魯閣","110/04/23","110/04/29","股東常會",
"1434","福懋","110/04/20","110/04/26","股東常會",
"1439","中和","110/04/20","110/04/26","股東常會",
"1444","力麗","110/04/19","110/04/23","股東常會",
"1447","力鵬","110/04/19","110/04/23","股東常會",
"1449","佳和","110/04/20","110/04/26","股東常會",
"1455","集盛","110/04/20","110/04/26","股東常會",
"1457","宜進","110/04/23","110/04/29","股東常會",
"1457","宜進","110/04/23","110/04/29","除息",
"1463","強盛","110/04/19","110/04/23","股東常會",
"1466","聚隆","110/04/20","110/04/26","股東常會",
"1467","南緯","110/04/19","110/04/23","股東常會",
"1470","大統新創","110/04/23","110/04/29","股東常會",
"1473","台南","110/04/23","110/04/29","股東常會",
"1474","弘裕","110/04/19","110/04/23","股東常會",
"1507","永大","110/04/16","110/04/22","股東常會",
"1513","中興電","110/04/23","110/04/29","股東常會",
"1514","亞力","110/04/19","110/04/23","股東常會",
"1521","大億","110/04/19","110/04/23","股東常會",
"1522","堤維西","110/04/19","110/04/23","股東常會",
"1525","江申","110/04/19","110/04/23","股東常會",
"1526","日馳","110/04/23","110/04/29","股東常會",
"1527","鑽全","110/04/23","110/04/29","股東常會",
"1531","高林股","110/04/20","110/04/26","股東常會",
"1532","勤美","110/04/20","110/04/26","股東常會",
"1535","中宇","110/04/19","110/04/23","股東常會",
"1540","喬福","110/04/23","110/04/29","股東常會",
"1541","錩泰","110/04/20","110/04/26","股東常會",
"1560","中砂","110/04/19","110/04/23","股東常會",
"1582","信錦","110/04/19","110/04/23","股東常會",
"1603","華電","110/04/20","110/04/26","股東常會",
"1615","大山","110/04/16","110/04/22","股東常會",
"1618","合機","110/04/23","110/04/29","股東常會",
"1626","艾美特-KY","110/04/23","110/04/29","股東常會",
"1712","興農","110/04/19","110/04/23","股東常會",
"1714","和桐","110/04/19","110/04/23","股東常會",
"1717","長興","110/04/19","110/04/23","股東常會",
"1722","台肥","110/04/23","110/04/29","股東常會",
"1724","台硝","110/04/19","110/04/23","股東常會",
"1726","永記","110/04/20","110/04/26","股東常會",
"1734","杏輝","110/04/19","110/04/23","股東常會",
"1735","日勝化","110/04/23","110/04/29","股東常會",
"1736","喬山","110/04/20","110/04/26","股東常會",
"1737","臺鹽","110/04/20","110/04/26","股東常會",
"1783","和康生","110/04/23","110/04/29","股東常會",
"1786","科妍","110/04/19","110/04/23","股東常會",
"1789","神隆","110/04/23","110/04/29","股東常會",
"1806","冠軍","110/04/23","110/04/29","股東常會",
"1809","中釉","110/04/19","110/04/23","股東常會",
"1810","和成","110/04/23","110/04/29","股東常會",
"2006","東和鋼鐵","110/04/20","110/04/26","股東常會",
"2007","燁興","110/04/19","110/04/23","股東常會",
"2008","高興昌","110/04/19","110/04/23","股東常會",
"2009","第一銅","110/04/19","110/04/23","股東常會",
"2013","中鋼構","110/04/19","110/04/23","股東常會",
"2023","燁輝","110/04/19","110/04/23","股東常會",
"2027","大成鋼","110/04/23","110/04/29","股東常會",
"2028","威致","110/04/16","110/04/22","股東常會",
"2032","新鋼","110/04/19","110/04/23","股東常會",
"2033","佳大","110/04/16","110/04/22","股東常會",
"2049","上銀","110/04/23","110/04/29","股東常會",
"2059","川湖","110/04/23","110/04/29","股東常會",
"2101","南港","110/05/07","110/05/13","除息",
"2103","台橡","110/04/19","110/04/23","股東常會",
"2114","鑫永銓","110/04/19","110/04/23","股東常會",
"2115","六暉-KY","110/04/19","110/04/23","股東常會",
"2204","中華","110/04/19","110/04/23","股東常會",
"2206","三陽工業","110/04/19","110/04/23","股東常會",
"2207","和泰車","110/04/19","110/04/23","股東常會",
"2208","台船","110/04/20","110/04/26","股東常會",
"2227","裕日車","110/04/20","110/04/26","股東常會",
"2228","劍麟","110/04/19","110/04/23","股東常會",
"2233","宇隆","110/04/19","110/04/23","股東常會",
"2236","百達-KY","110/04/23","110/04/29","股東常會",
"2243","宏旭-KY","110/04/23","110/04/29","股東常會",
"2302","麗正","110/04/19","110/04/23","股東常會",
"2312","金寶","110/04/19","110/04/23","股東常會",
"2317","鴻海","110/04/19","110/04/23","股東常會",
"2324","仁寶","110/04/20","110/04/26","股東常會",
"2324","仁寶","110/04/20","110/04/26","除息",
"2330","台積電","110/06/11","110/06/18","除息",
"2331","精英","110/04/19","110/04/23","股東常會",
"2340","光磊","110/04/19","110/04/23","股東常會",
"2344","華邦電","110/04/19","110/04/23","股東常會",
"2351","順德","110/04/19","110/04/23","股東常會",
"2352","佳世達","110/04/19","110/04/23","股東常會",
"2354","鴻準","110/04/19","110/04/23","股東常會",
"2355","敬鵬","110/04/19","110/04/23","股東常會",
"2358","廷鑫","110/04/20","110/04/26","股東常會",
"2358","廷鑫","110/04/20","110/04/26","現金增資",
"2365","昆盈","110/04/19","110/04/23","股東常會",
"2367","燿華","110/04/19","110/04/23","股東常會",
"2371","大同","110/04/23","110/04/29","股東常會",
"2390","云辰","110/04/19","110/04/23","股東常會",
"2402","毅嘉","110/04/16","110/04/22","股東常會",
"2413","環科","110/04/19","110/04/23","股東常會",
"2414","精技","110/04/19","110/04/23","股東常會",
"2415","錩新","110/04/23","110/04/29","股東常會",
"2428","興勤","110/04/20","110/04/26","股東常會",
"2431","聯昌","110/04/23","110/04/29","股東常會",
"2450","神腦","110/04/16","110/04/22","股東常會",
"2450","神腦","110/06/18","110/06/24","除息",
"2460","建通","110/04/19","110/04/23","股東常會",
"2466","冠西電","110/04/19","110/04/23","股東常會",
"2468","華經","110/04/20","110/04/26","股東常會",
"2471","資通","110/04/19","110/04/23","股東常會",
"2472","立隆電","110/04/19","110/04/23","股東常會",
"2477","美隆電","110/04/19","110/04/23","股東常會",
"2488","漢平","110/04/20","110/04/26","股東常會",
"2491","吉祥全","110/04/19","110/04/23","股東常會",
"2492","華新科","110/04/20","110/04/26","股東常會",
"2506","太設","110/04/19","110/04/23","股東常會",
"2514","龍邦","110/04/23","110/04/29","股東常會",
"2524","京城","110/04/20","110/04/26","股東常會",
"2527","宏璟","110/04/23","110/04/29","股東常會",
"2530","華建","110/04/19","110/04/23","股東常會",
"2534","宏盛","110/04/23","110/04/29","股東常會",
"2536","宏普","110/04/19","110/04/23","股東常會",
"2537","聯上發","110/04/19","110/04/23","股東常會",
"2540","愛山林","110/04/23","110/04/29","股東常會",
"2547","日勝生","110/04/20","110/04/26","股東常會",
"2611","志信","110/04/19","110/04/23","股東常會",
"2612","中航","110/04/19","110/04/23","股東常會",
